Year,2000,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022
Department of Education,"10,727,315","35,518,187","51,896,533","56,994,579","44,128,936","82,309,464","51,025,715","74,809,625","179,320,427","202,738,836","542,808,446"
 Student financial assistance,"9,060,317","24,596,640","30,589,493","29,351,512","30,130,183","31,199,052","31,754,748","31,572,669","31,663,815","31,099,903","29,676,848"
Direct Loan Program,"-2,862,240","3,481,859","16,254,117","23,660,742","9,878,116","37,028,295","13,619,843","36,528,795","114,143,528","98,173,183","474,121,269"
Federal Family Education Loan (FFEL) Program,"2,707,473","4,274,364","2,269,320","1,362,692","1,446,784","11,155,845","2,545,960","3,661,416","16,599,386","6,584,881","34,896,379"
Higher education,"1,530,779","2,740,665","2,322,592","2,161,224","2,219,845","2,292,844","2,484,721","2,551,546","2,715,747","2,782,126","3,234,576"
Facilities--loans and insurance ,"-2,174","-8,360",-109,-156,-68,-102,-156,-166,"-3,203","-3,020","-1,665"
College housing loans,"-41,886","-16,725","-1,176","-1,176","-1,176","-1,176","-1,176","-1,176","-1,760","-1,760","-1,760"
Educational activities overseas ,†,†,†,†,†,†,†,†,†,†,†
"Historically Black Colleges and Universities
Capital Financing, Program Account",150,"23,330","55,184","50,629","42,140","221,594","188,257","48,162","4,776","1,761,398","303,920"
Gallaudet College and Howard University ,"291,060","357,977","340,821","342,096","343,096","343,096","360,518","370,879","377,379","391,379","490,379"
National Technical Institute for the Deaf ,"43,836","68,437","66,291","67,016","70,016","70,016","73,000","77,500","79,500","81,500","88,500"
"Coronavirus Aid, Relief, and Economic Security 
 (CARES) Act",†,†,†,†,†,†,†,†,"13,741,259",†,†
Coronavirus Response and Relief Supplemental ,†,†,†,†,†,†,†,†,†,"22,733,955",†
American Rescue Plan (ARP) Act,†,†,†,†,†,†,†,†,†,"39,135,291",†
Department of Agriculture ,"30,676","80,697","82,986","82,986","84,686","84,525","84,111","84,686","100,509","109,500","109,500"
"Agriculture Extension Service, Second Morrill Act
payments to agricultural and mechanical
 colleges and Tuskegee Institute","30,676","80,697","82,986","82,986","84,686","84,525","84,111","84,686","100,509","109,500","109,500"
Department of Commerce ,"3,800",---,---,---,---,---,"72,012","80,000","87,000","87,950","88,000"
Sea Grant Program,"3,800",---,---,---,---,---,"72,012","80,000","87,000","87,950","88,000"
Department of Defense ,"1,147,759","2,550,667","2,314,444","2,204,083","2,329,356","2,334,096","2,447,747","2,482,425","2,569,688","2,754,713","2,774,115"
Tuition assistance for military personnel,"263,303","669,892","580,848","520,817","571,613","540,099","572,628","561,889","555,708","562,179","580,098"
Service academies ,"212,678","402,640","225,163","227,413","230,807","234,908","242,174","249,839","256,260","265,900","283,445"
Senior Reserve Officers Training Corps (SROTC),"363,461","885,500","856,900","840,384","870,817","850,925","896,721","956,080","991,307","995,759","988,397"
Professional development education,"308,317","592,635","651,533","615,469","656,119","708,164","736,224","714,617","766,413","930,875","922,175"
Department of Health and Human Services ,"8,974,190","10,372,556","12,839,981","13,164,045","13,766,395","14,492,350","15,413,540","15,746,551","16,277,743","18,114,670","19,618,190"
Health professions training programs,"340,361","406,000","469,236","486,600","541,895","538,695","641,695","641,695","734,506","754,006","799,142"
 Indian health professions,"16,000","46,000","32,000","48,000","48,000","48,000","49,000","49,000","65,314","67,314","73,039"
 Medicare medical education benefits,"8,020,000","9,080,000","11,530,000","11,800,000","12,300,000","13,000,000","13,800,000","14,100,000","14,500,000","16,300,000","17,700,000"
